Turns played: 1041
Group g1 scored: 15
Group g2 scored: 467
Group g3 scored: 262
Group g4 scored: 493
Group g5 scored: 612
Group g6 scored: 439
Group g7 scored: 490
Group g8 scored: 260
Group g9 scored: 418
Turns played: 1028
Group g1 scored: 33
Group g2 scored: 508
Group g3 scored: 286
Group g4 scored: 494
Group g5 scored: 341
Group g6 scored: 459
Group g7 scored: 574
Group g8 scored: 262
Group g9 scored: 454
Turns played: 1028
Group g1 scored: 47
Group g2 scored: 511
Group g3 scored: 258
Group g4 scored: 520
Group g5 scored: 344
Group g6 scored: 418
Group g7 scored: 644
Group g8 scored: 275
Group g9 scored: 443
Turns played: 1112
Group g1 scored: 22
Group g2 scored: 567
Group g3 scored: 243
Group g4 scored: 535
Group g5 scored: 335
Group g6 scored: 473
Group g7 scored: 544
Group g8 scored: 258
Group g9 scored: 454
Turns played: 1001
Group g1 scored: 19
Group g2 scored: 474
Group g3 scored: 250
Group g4 scored: 473
Group g5 scored: 363
Group g6 scored: 429
Group g7 scored: 639
Group g8 scored: 281
Group g9 scored: 533
Turns played: 1187
Group g1 scored: 13
Group g2 scored: 510
Group g3 scored: 253
Group g4 scored: 450
Group g5 scored: 379
Group g6 scored: 454
Group g7 scored: 606
Group g8 scored: 265
Group g9 scored: 415
Turns played: 1090
Group g1 scored: 17
Group g2 scored: 526
Group g3 scored: 257
Group g4 scored: 471
Group g5 scored: 334
Group g6 scored: 447
Group g7 scored: 654
Group g8 scored: 261
Group g9 scored: 455
Turns played: 1030
Group g1 scored: 25
Group g2 scored: 533
Group g3 scored: 280
Group g4 scored: 457
Group g5 scored: 359
Group g6 scored: 426
Group g7 scored: 668
Group g8 scored: 287
Group g9 scored: 408
Turns played: 1130
Group g1 scored: 11
Group g2 scored: 563
Group g3 scored: 248
Group g4 scored: 533
Group g5 scored: 300
Group g6 scored: 426
Group g7 scored: 575
Group g8 scored: 267
Group g9 scored: 503
Turns played: 1153
Group g1 scored: 7
Group g2 scored: 476
Group g3 scored: 236
Group g4 scored: 483
Group g5 scored: 369
Group g6 scored: 496
Group g7 scored: 596
Group g8 scored: 263
Group g9 scored: 518
