Turns played: 1085
Group g1 scored: 247
Group g2 scored: 511
Group g3 scored: 321
Group g4 scored: 534
Group g5 scored: 429
Group g6 scored: 420
Group g7 scored: 325
Group g8 scored: 214
Group g9 scored: 500
Turns played: 1160
Group g1 scored: 309
Group g2 scored: 515
Group g3 scored: 290
Group g4 scored: 440
Group g5 scored: 371
Group g6 scored: 368
Group g7 scored: 351
Group g8 scored: 370
Group g9 scored: 527
Turns played: 1140
Group g1 scored: 335
Group g2 scored: 564
Group g3 scored: 330
Group g4 scored: 569
Group g5 scored: 475
Group g6 scored: 334
Group g7 scored: 275
Group g8 scored: 238
Group g9 scored: 455
Turns played: 1120
Group g1 scored: 319
Group g2 scored: 484
Group g3 scored: 301
Group g4 scored: 459
Group g5 scored: 556
Group g6 scored: 405
Group g7 scored: 287
Group g8 scored: 252
Group g9 scored: 517
Turns played: 1127
Group g1 scored: 435
Group g2 scored: 485
Group g3 scored: 308
Group g4 scored: 511
Group g5 scored: 430
Group g6 scored: 373
Group g7 scored: 313
Group g8 scored: 258
Group g9 scored: 453
Turns played: 1203
Group g1 scored: 411
Group g2 scored: 511
Group g3 scored: 331
Group g4 scored: 545
Group g5 scored: 349
Group g6 scored: 378
Group g7 scored: 314
Group g8 scored: 305
Group g9 scored: 425
Turns played: 1053
Group g1 scored: 310
Group g2 scored: 481
Group g3 scored: 316
Group g4 scored: 457
Group g5 scored: 514
Group g6 scored: 366
Group g7 scored: 351
Group g8 scored: 336
Group g9 scored: 355
Turns played: 1190
Group g1 scored: 335
Group g2 scored: 524
Group g3 scored: 295
Group g4 scored: 484
Group g5 scored: 458
Group g6 scored: 371
Group g7 scored: 328
Group g8 scored: 290
Group g9 scored: 459
Turns played: 967
Group g1 scored: 256
Group g2 scored: 526
Group g3 scored: 348
Group g4 scored: 570
Group g5 scored: 388
Group g6 scored: 390
Group g7 scored: 378
Group g8 scored: 234
Group g9 scored: 448
Turns played: 1124
Group g1 scored: 322
Group g2 scored: 457
Group g3 scored: 346
Group g4 scored: 440
Group g5 scored: 467
Group g6 scored: 423
Group g7 scored: 356
Group g8 scored: 268
Group g9 scored: 481
