Turns played: 1152
Group g1 scored: 189
Group g2 scored: 569
Group g3 scored: 147
Group g4 scored: 598
Group g5 scored: 513
Group g6 scored: 419
Group g7 scored: 536
Group g8 scored: 257
Group g9 scored: 567
Turns played: 1085
Group g1 scored: 220
Group g2 scored: 570
Group g3 scored: 130
Group g4 scored: 494
Group g5 scored: 501
Group g6 scored: 464
Group g7 scored: 640
Group g8 scored: 248
Group g9 scored: 529
Turns played: 1054
Group g1 scored: 241
Group g2 scored: 601
Group g3 scored: 133
Group g4 scored: 488
Group g5 scored: 448
Group g6 scored: 444
Group g7 scored: 514
Group g8 scored: 321
Group g9 scored: 547
Turns played: 1155
Group g1 scored: 140
Group g2 scored: 617
Group g3 scored: 118
Group g4 scored: 496
Group g5 scored: 487
Group g6 scored: 415
Group g7 scored: 606
Group g8 scored: 330
Group g9 scored: 546
Turns played: 1180
Group g1 scored: 134
Group g2 scored: 652
Group g3 scored: 190
Group g4 scored: 532
Group g5 scored: 344
Group g6 scored: 466
Group g7 scored: 535
Group g8 scored: 326
Group g9 scored: 502
Turns played: 1056
Group g1 scored: 159
Group g2 scored: 723
Group g3 scored: 156
Group g4 scored: 589
Group g5 scored: 295
Group g6 scored: 374
Group g7 scored: 684
Group g8 scored: 265
Group g9 scored: 568
Turns played: 1083
Group g1 scored: 133
Group g2 scored: 657
Group g3 scored: 151
Group g4 scored: 589
Group g5 scored: 571
Group g6 scored: 457
Group g7 scored: 507
Group g8 scored: 274
Group g9 scored: 451
Turns played: 1052
Group g1 scored: 193
Group g2 scored: 605
Group g3 scored: 168
Group g4 scored: 628
Group g5 scored: 344
Group g6 scored: 455
Group g7 scored: 497
Group g8 scored: 321
Group g9 scored: 492
Turns played: 1141
Group g1 scored: 185
Group g2 scored: 590
Group g3 scored: 125
Group g4 scored: 485
Group g5 scored: 614
Group g6 scored: 386
Group g7 scored: 618
Group g8 scored: 319
Group g9 scored: 458
Turns played: 1128
Group g1 scored: 182
Group g2 scored: 559
Group g3 scored: 169
Group g4 scored: 427
Group g5 scored: 465
Group g6 scored: 440
Group g7 scored: 626
Group g8 scored: 316
Group g9 scored: 622
